system:index,AREASYMBOL,Fail_Type,MUKEY,MUSYM,Note,Notes,Shape_Leng,Structure_,Type,aspectD_60,aspectU_60,berm_angle,berm_elev,compare,convD_60,convU_60,id,landform,latitude,longitude,other_dist,other_elev,road_dist,saviD_60,saviU_60,savi_background,slopeD_100,slopeD_200,slopeD_60,slopeU_100,slopeU_200,slopeU_60,slope_100,slope_200,surfclayD_60,surfclayU_60,surfclay_background,surfclaybg,surfsandD_60,surfsandU_60,surfsand_background,surfsandbg,surfsocD_60,surfsocU_60,surfsoc_background,surfsocbg,zD_60,zU_60,.geo
0000000000000000000b,AZ669,,53875,68,MLC,,44.26041189,,Berm,113.05975341796875,21.3804931640625,16.773323159597457,1028.9721522136101,0,0.16591209362199474,0.34082203069905403,0000000000000000000b,1,31.633902812830048,-111.47100654093067,113.35865823666161,1026.4599609375,104.23607193004534,0.13676713093335363,0.1425097223820379,0.12982084735174487,-1.2317541233730935,-1.235245632149713,0.3729317066328501,1.2317541233730935,1.235245632149713,1.0683186848958333,1.2317541233730935,1.235245632149713,24.0,24.0,23.815788383160157,24.0,54.583289748953966,54.97970938604529,53.35875989377945,54.84378920953575,2.0,2.0,2.0,2.0,1025.748081752232,1026.222746681588,"{""type"":""LineString"",""coordinates"":[[-111.47122672290345,31.63396917760513],[-111.4707863592721,31.633836447677123]]}"
0000000000000000000c,AZ669,,53875,68,MLC,,34.9514527978,,Berm,-122.56054687500001,-21.38055419921875,9.076560023476608,1026.90281496919,0,0.2487698438365473,0.13885874549259933,0000000000000000000c,1,31.634312486092462,-111.46979051618973,68.15925077316048,1025.7969970703125,46.06617248056623,0.1325016857720836,0.13386031918041386,0.12985014402145623,-1.2877268729816933,-1.3659715458526307,0.5541199268035749,1.2877268729816933,1.3659715458526307,1.248698776821584,1.2877268729816933,1.3659715458526307,24.64357887874836,24.0,23.672950534580117,24.0,54.0,54.0,53.478384919441645,54.0,2.0,2.0,2.0,2.0,1025.0801391601562,1025.6444396102713,"{""type"":""LineString"",""coordinates"":[[-111.4699722536622,31.634327601383593],[-111.4697471299405,31.63431947288907],[-111.46961602270594,31.634270691893978]]}"
0000000000000000000d,AZ669,,53875,68,MLC,,80.565971075,,Berm,-62.94026184082031,-141.93845877558152,21.238435533731238,1027.2252249524045,0,0.02851733540719731,0.07044372046405212,0000000000000000000d,1,31.635128560097375,-111.47015948996653,84.16495658236076,1025.443675930217,127.12255974148513,0.1374561842764146,0.13545839533020487,0.13189323032379996,-0.9189019328855466,-1.9143942043361906,0.13651237984352824,0.9189019328855466,1.9143942043361906,1.0770143793653613,0.9189019328855466,1.9143942043361906,25.0,24.941056295399513,24.165377571867623,25.0,54.0,54.0,52.732018538970955,54.0,2.0,2.0,2.0,2.0,1024.9315102353478,1025.269462382817,"{""type"":""LineString"",""coordinates"":[[-111.47054760465014,31.635279398635927],[-111.46977137654186,31.63497772038477]]}"
0000000000000000000e,AZ669,,53875,68,MLC,,79.7946962579,,Berm,2.842170943040401E-14,113.05947875976557,38.54066962890931,1026.2650310923752,0,1.5376582048531942,0.11981436406626306,0000000000000000000e,1,31.636120345842045,-111.46883369432283,153.1414318140927,1024.4179296874997,104.23486101108402,0.1307588985896575,0.13227016885553472,0.13189265290876062,-1.0244652666364118,-0.9454310711150241,0.4698510537267945,1.0244652666364118,0.9454310711150241,0.2282623295373772,1.0244652666364118,0.9454310711150241,24.19412635350938,24.88994469974298,24.15549320097741,24.579007633587796,54.735062709355766,54.11005530025703,52.61680481541575,54.420992366412214,2.0,2.0,1.989926399786506,2.0,1024.0153945860318,1024.4625188687605,"{""type"":""LineString"",""coordinates"":[[-111.46911364072801,31.636381903151868],[-111.46882944975259,31.636078410400263],[-111.46850924796694,31.635900446594572]]}"
0000000000000000000f,AZ669,,53875,68,MLC,,97.1684452909,,Berm,-35.17369079589844,-49.58929443359372,11.235181424911453,1024.846034551464,0,0.323291928077229,0.0027102692993046175,0000000000000000000f,1,31.637128977290082,-111.46626598356453,98.61891871306807,1023.3468824266553,26.058554810437855,0.12743538767395624,0.1468418374671435,0.13188397276116948,-0.7813768279888791,-0.8003487800891662,0.16099978646423097,0.7813768279888791,0.8003487800891662,0.37197923105869296,0.7813768279888791,0.8003487800891662,22.0,22.139654067905187,24.143803929896393,22.0,56.0,55.901985906470195,53.14969153361864,56.0,2.0,2.0,1.9179197701424988,2.0,1022.9098601880869,1023.2537892810783,"{""type"":""LineString"",""coordinates"":[[-111.46666849921992,31.637313430981706],[-111.46648956295127,31.637121510267036],[-111.46633740350221,31.637050410457743],[-111.46602883342383,31.63710527894516],[-111.465782965967,31.63713752554354]]}"
00000000000000000025,AZ669,,53902,85,MLC,,81.2451446377,,Berm,-89.99999999999999,141.9356689453125,-10.82729188238979,,1,0.13045347889290046,-1.1882287189950655,00000000000000000025,0,31.643746496739197,-111.5010056379823,42692.879771119304,1056.9849853515625,53.71925446970807,0.1437553412281773,0.1232744162043607,0.1410926708971849,-1.9696092848055287,-1.171916622711933,-0.4449016843424639,1.9696092848055287,1.171916622711933,-2.593739827473958,1.9696092848055287,1.171916622711933,22.0,22.0,24.350458816194717,22.0,55.0,55.0,53.71681156423599,55.0,1.0,1.0,1.017106998630914,1.0,1056.319135031898,1057.578477801399,"{""type"":""LineString"",""coordinates"":[[-111.50058726654964,31.64382651116203],[-111.50142400869483,31.643666480951897]]}"
00000000000000000030,AZ669,,53875,68,MLC,,178.2489437,,Berm,-30.42796325683591,81.92474365234375,-16.201091348261784,1023.6725089716717,0,0.04999907756238086,0.49071909139478526,00000000000000000030,1,31.64854205343345,-111.42668509559263,92.68160456283516,1021.7054956157374,274.20970605926715,0.14668119830360662,0.13709062428630966,0.14795635051406725,-1.0468215758472752,-1.208079004626768,0.1556554140169434,1.0468215758472752,1.208079004626768,0.8682081257444453,1.0468215758472752,1.208079004626768,24.0,24.0,23.920508467580103,24.0,55.0,55.0,54.23942661269571,55.0,1.3325852303088592,1.2122550765942284,1.5751380817591565,1.2840642483306262,1021.1323421349954,1021.3987695934627,"{""type"":""LineString"",""coordinates"":[[-111.42757391374766,31.648283805732863],[-111.42579627249908,31.648800294975217]]}"
00000000000000000031,AZ669,,53875,68,MLC,,31.5635397355,,Berm,122.55667114257812,-49.59259033203122,2.1042084627348645,1023.2710281808036,0,-0.15706304399360071,0.8661134893441665,00000000000000000031,1,31.648142455068868,-111.42765703109713,16.76009986915468,1022.0560302734375,337.90188684529454,0.14221824686940965,0.13535582310168082,0.1489216120092606,-1.3203901111443201,-1.458754171440546,0.6173544571252402,1.3203901111443201,1.458754171440546,0.7457343608155043,1.3203901111443201,1.458754171440546,24.0,24.0,23.747795957607842,24.0,55.0,55.0,54.352543370599626,55.0,2.0,2.0,1.5808796623536594,2.0,1021.4418423109396,1021.8244581726433,"{""type"":""LineString"",""coordinates"":[[-111.42782458802999,31.648148611316735],[-111.42748947418646,31.64813629860214]]}"
0000000000000000005c,AZ669,,53875,68,MLC,,38.5906683039,,Berm,-113.05662768546662,130.4072697790843,-70.34306161930664,1021.9632347346251,0,-0.3299914438319793,-0.48908699315575666,0000000000000000005c,1,31.64837325994951,-111.42812325562333,40.723223982771074,1021.427978515625,391.3980334852871,0.13464404448011003,0.1448702239055364,0.14693675825261499,-1.1804709971141847,-0.5860501318862816,-0.566555049124228,1.1804709971141847,0.5860501318862816,1.6266542817845675,1.1804709971141847,0.5860501318862816,24.0,24.0,23.49570442888415,24.0,55.0,55.0,54.59087355860074,55.0,2.0,2.0,1.5264553446116331,2.0,1021.1681891222651,1021.5196072024261,"{""type"":""LineString"",""coordinates"":[[-111.42815467203077,31.6482057248531],[-111.42813471651527,31.648420758970843],[-111.42804095477844,31.648524078526826]]}"
00000000000000000064,AZ669,,53875,68,MLC,,84.2977178696,,Berm,-168.9243459701538,-66.93992988598302,55.679310903896784,1031.2200842994298,0,-0.09702979008566374,0.3264522119390068,00000000000000000064,1,31.633209615560066,-111.47857463751369,224.94926126665763,1030.4730224609375,133.59269081096977,0.15366035189370197,0.13992754560745246,0.13970603596847359,-0.19437981209512145,-0.4146691450193885,0.019561578073610992,0.19437981209512145,0.4146691450193885,0.8854529914712355,0.19437981209512145,0.4146691450193885,26.0,25.882122377876176,24.26365434915,26.0,50.0,50.0,51.429602875377974,50.0,2.0,2.0,1.928447338127976,2.0,1030.2153753188484,1030.3413837515097,"{""type"":""LineString"",""coordinates"":[[-111.47879878231107,31.633537943454705],[-111.47835049429872,31.632881287273865]]}"
000000000000000000e1,AZ669,,53875,68,MLC,,37.7864337158,,Berm,-180.0,-119.57789611816406,-42.89861202224743,1023.5817603498001,0,-0.14856593454669426,0.012988550709586176,000000000000000000e1,1,31.640944796235946,-111.46439900250913,153.15902940266,1022.6414974918315,81.82702006554828,0.13924295094631134,0.14944649446494468,0.14155177436443894,-2.1131362915039062,-2.3997743705243693,1.1977810329860479,2.1131362915039062,2.3997743705243693,1.132645563902391,2.1131362915039062,2.3997743705243693,23.761491241203775,23.87653581060833,24.303653332845613,23.22170542635659,51.47701751759245,52.12346418939166,52.372914474817705,52.778294573643414,2.0,2.0,1.9433850842295652,2.0,1021.7107294747606,1022.6057997696519,"{""type"":""LineString"",""coordinates"":[[-111.46453448292566,31.640818905937763],[-111.46426352172575,31.641070686391064]]}"
