system:index,AREASYMBOL,Fail_Type,MUKEY,MUSYM,Note,Notes,Shape_Leng,Structure_,Type,aspectD_60,aspectU_60,berm_angle,berm_elev,compare,convD_60,convU_60,id,landform,latitude,longitude,other_dist,other_elev,road_dist,saviD_60,saviU_60,savi_background,slopeD_100,slopeD_200,slopeD_60,slopeU_100,slopeU_200,slopeU_60,slope_100,slope_200,surfclayD_60,surfclayU_60,surfclay_background,surfclaybg,surfsandD_60,surfsandU_60,surfsand_background,surfsandbg,surfsocD_60,surfsocU_60,surfsoc_background,surfsocbg,zD_60,zU_60,.geo
00000000000000000088,AZ669,,53807,30,MLC,,129.760860282,,Berm,-60.46749877929686,0.0,20.193227213525155,927.1849854866333,0,0.20185550258514864,0.08851750226974862,00000000000000000088,1,31.811530495289436,-111.40596440667636,66.77977523346375,926.9352240078692,269.37878450975035,0.12260343087790113,0.19592817806886517,0.14112666511370997,-1.0384991104289156,-1.1534341026161883,0.0725729482458822,1.0384991104289156,1.1534341026161883,0.43105375833704335,1.0384991104289156,1.1534341026161883,26.67577501571795,27.622297460701333,27.91369910910242,27.73602794411178,47.818590704647676,47.0,46.302404255714414,46.75548902195608,1.0,1.0,1.0,1.0,926.4004002786895,926.8694289523033,"{""type"":""LineString"",""coordinates"":[[-111.40659213279353,31.811761367170018],[-111.40533668369719,31.811299620328217]]}"
0000000000000000008a,AZ669,,53875,68,MLC,,89.7013048128,,Berm,0.0,-90.00000000000001,3.8383315471867423,939.6720423474146,0,0.19915105046577694,-0.049251227751153336,0000000000000000008a,1,31.78813305195586,-111.40307096228977,131.91223628457777,938.3755489325373,807.0137239634053,0.11306229244238702,0.11933276304533788,0.13382641783338806,-0.5944417437244738,-0.30675305167540046,0.5421246294597875,0.5944417437244738,0.30675305167540046,0.43347165120659764,0.5944417437244738,0.30675305167540046,26.0,26.0,25.677881512158088,26.0,50.0,50.0,49.29513069499166,50.0,1.0,1.0,1.0,1.0,937.7611520992377,938.2265153413532,"{""type"":""LineString"",""coordinates"":[[-111.40344752585318,31.788103117886827],[-111.40340604792856,31.78821073069141],[-111.40261886680695,31.788047521560557]]}"
0000000000000000008c,AZ669,,53875,68,MLC,,97.5235793098,,Berm,130.3643368143231,30.465545654296818,21.18010088628537,939.7331876197535,0,-0.044179647890254324,-0.0837862305137118,0000000000000000008c,1,31.78861631716208,-111.40118732169634,123.07122478802013,938.0251195038746,808.8470081950081,0.11848840710629331,0.16754213972796464,0.129928682506237,-1.0315069781647708,-0.9714357001764712,0.4297584434078771,1.0315069781647708,0.9714357001764712,0.3408447432515989,1.0315069781647708,0.9714357001764712,26.88622149219787,26.0,26.805754119008263,26.1531197301855,47.113778507802145,48.0,47.89119142769657,47.8468802698145,1.0,1.0,1.0,1.0,937.7445728168093,938.0994501887141,"{""type"":""LineString"",""coordinates"":[[-111.40165737396687,31.78879844941312],[-111.4007172712779,31.788434183184332]]}"
0000000000000000009e,AZ669,,53793,27,MLC,,55.9000517222,,Berm,113.02252197265625,49.639693248593375,-42.238231773013176,947.865478515625,1,-0.26429116116512325,-0.11178858392887998,0000000000000000009e,0,31.80183100048871,-111.42927339853861,42657.18677025791,954.6217762793766,370.268149972302,0.1565856710814475,0.1361003861003861,0.13816154966891678,-0.8671639510029081,-1.1956027969740717,0.13624686486612822,0.8671639510029081,1.1956027969740717,1.3670149836923429,0.8671639510029081,1.1956027969740717,28.787383961525542,28.008836689038052,27.524803868074404,28.281659388646293,47.0,47.0,48.70428907166003,47.0,1.0,1.0,1.0,1.0,954.2148568289621,954.6217216607776,"{""type"":""LineString"",""coordinates"":[[-111.42943218319081,31.80162793613736],[-111.42926039984792,31.801901696375538],[-111.42905097726445,31.801974056349238]]}"
000000000000000000ab,AZ669,,53738,1,MLC,,82.7788607939,,Berm,-89.99999999999999,66.97482299804685,44.88676900267732,977.7164427130738,0,0.17974695866638826,0.19846107445992367,000000000000000000ab,0,31.789677815481703,-111.44751326576582,42659.94279359214,984.7395938632079,65.73846705393457,0.16139757985391912,0.16809477878554036,0.1592068786454924,-2.7628087997206876,-3.000338777337788,0.9839589964066894,2.7628087997206876,3.000338777337788,0.9362685111881319,2.7628087997206876,3.000338777337788,24.0,23.743669250645986,22.685867598285995,24.0,51.0,51.768992248062,53.51851987182191,51.0,1.0,1.0,1.010671927364343,1.0,983.7694925764758,984.8865315238994,"{""type"":""LineString"",""coordinates"":[[-111.4477977661001,31.789961192357797],[-111.44722876717573,31.789394437973055]]}"
000000000000000000ac,AZ669,,53738,1,MLC,,102.283305935,,Berm,-130.3638153717245,-130.36399465773252,17.784853556857833,984.7395938632079,0,0.26158365605746253,0.041460572781948986,000000000000000000ac,0,31.790448271360507,-111.44233662456175,42659.768765812165,977.7164427130738,263.28738140811123,0.15929560794611838,0.17237243785433928,0.14993729346926105,-2.1505981334819353,-2.2430135082117886,0.9345841421050712,2.1505981334819353,2.2430135082117886,0.7074387174577623,2.1505981334819353,2.2430135082117886,24.99150227617603,25.0,23.01889958401417,25.0,50.72886191198788,51.0,53.10458253225494,51.0,1.2711380880121397,1.0,1.0145197295845565,1.0,977.1052716273788,978.0667867092606,"{""type"":""LineString"",""coordinates"":[[-111.44284074969168,31.79060997996332],[-111.44183250119552,31.790286560771516]]}"
000000000000000001d7,AZ669,,53902,85,TCD,,112.948978432,,Berm,-105.80540530502482,-180.0,87.42425049175178,,0,-0.011578832219002248,0.31060934148794833,000000000000000001d7,0,31.873048405020274,-111.54757584293658,42641.059639194085,1103.01842264645,33.17682391214477,0.21730009871668313,0.1721959793474679,0.18309593037812122,-5.893734929384664,-3.2471800021500035,2.456692598833191,5.893734929384664,3.2471800021500035,2.3907355042623144,5.893734929384664,3.2471800021500035,17.0,19.93088675127313,21.78719235275749,17.0,61.0,61.0,56.496748005181395,61.0,2.0,2.0,2.0,2.0,1100.898781902429,1103.1782476251776,"{""type"":""LineString"",""coordinates"":[[-111.54777143861956,31.87273723450489],[-111.54752500589358,31.872774122232123],[-111.54744671314026,31.872846111992473],[-111.54743656180999,31.87290437347423],[-111.54750565661564,31.873051859554653],[-111.54759632544075,31.87329777506435],[-111.5476545808683,31.87338708996284],[-111.5478016515623,31.873408847869175]]}"
000000000000000001d8,AZ669,,53759,19,TCD,,19.944304855,,Berm,-49.66244506835943,-90.0,-47.80987216753564,1041.8590087890625,1,-0.5341991579083578,0.7394647609705698,000000000000000001d8,0,31.876894313147933,-111.52627607612564,42640.18010226202,1044.458984375,113.78528093563685,0.15634674922600622,0.1741786264974499,0.15084973443182323,-4.073387988943523,-3.8794529523610204,1.553598085580461,4.073387988943523,3.8794529523610204,1.5491884799435716,4.073387988943523,3.8794529523610204,28.0,28.0,24.815056240475815,28.0,51.0,51.0,52.00406486602977,51.0,2.0,2.0,1.871959268338675,2.0,1043.8244044487496,1045.4305426039296,"{""type"":""LineString"",""coordinates"":[[-111.52634126889507,31.876822390567984],[-111.52621088325441,31.876966235694614]]}"
000000000000000001db,AZ669,,53807,30,TCD,,31.4812132422,,Berm,-90.00000000000004,89.99999999999994,-25.880446433184495,894.5141575920511,0,0.05229168056646577,0.03862663009796022,000000000000000001db,1,31.875514753948032,-111.40321131471615,71.75968371647461,894.1493648558624,33.17637922097384,0.09858893427404379,0.15029691771137715,0.1376717956238185,-1.7687319100622287,-1.4245783487955919,0.7249959309895834,1.7687319100622287,1.4245783487955919,0.9219026825081754,1.7687319100622287,1.4245783487955919,27.0,27.0,25.614288227737905,27.0,46.0,46.0,47.87346146671786,46.0,1.0,1.0,1.0,1.0,893.3451480865479,894.2366143588362,"{""type"":""LineString"",""coordinates"":[[-111.40306729623742,31.875584624701403],[-111.40335533297643,31.875444883032316]]}"
000000000000000001dc,AZ669,,53807,30,TCD,,28.1085340523,,Berm,-180.0,113.00620059663197,15.691613538433415,894.4240777792095,0,0.03129398302337252,0.022987198885004646,000000000000000001dc,1,31.87494120055301,-111.40260791348148,54.37087459728811,894.9910278320312,47.77954985792668,0.14672183322724386,0.12074735080870047,0.14161532329588827,-1.48101806640625,-1.54351806640625,0.7291072429995893,1.48101806640625,1.54351806640625,0.5019752415211087,1.48101806640625,1.54351806640625,27.0,27.0,25.503605423083467,27.0,46.0,46.0,48.10048019427425,46.0,1.0,1.0,1.0,1.0,894.1816040039063,894.7715680757316,"{""type"":""LineString"",""coordinates"":[[-111.40274978459834,31.874981056223813],[-111.40246604248733,31.87490134472468]]}"
