system:index,AREASYMBOL,Fail_Type,MUKEY,MUSYM,Note,Notes,Shape_Leng,Structure_,Type,aspectD_60,aspectU_60,berm_angle,berm_elev,compare,convD_60,convU_60,id,landform,latitude,longitude,other_dist,other_elev,road_dist,saviD_60,saviU_60,savi_background,slopeD_100,slopeD_200,slopeD_60,slopeU_100,slopeU_200,slopeU_60,slope_100,slope_200,surfclayD_60,surfclayU_60,surfclay_background,surfclaybg,surfsandD_60,surfsandU_60,surfsand_background,surfsandbg,surfsocD_60,surfsocU_60,surfsoc_background,surfsocbg,zD_60,zU_60,.geo
00000000000000000038,AZ669,,53875,68,MLC,,66.1943913754,,Berm,30.43492126464841,-49.60075601866308,12.865262257082502,1003.0178808984459,0,0.0331576502961768,0.35453277975680614,00000000000000000038,1,31.674897752722984,-111.43270479078632,97.69800826901694,1004.4493541179406,384.0429739336487,0.16762772459923886,0.23125163313300234,0.17432924028034777,-1.1422133274104453,-1.1082046323455756,0.949505396309102,1.1422133274104453,1.1082046323455756,0.45309228054861705,1.1422133274104453,1.1082046323455756,25.0,25.0,26.46484012681022,25.0,53.0,53.0,52.1718944797204,53.0,1.0,1.0,1.0435728195705942,1.0,1003.1705909850219,1003.6103174954006,"{""type"":""LineString"",""coordinates"":[[-111.4330429209778,31.674974978636957],[-111.43236666115723,31.674820525917276]]}"
0000000000000000003a,AZ669,,53875,68,MLC,,28.2645332809,,Berm,49.60121154785148,13.224945068359432,-0.19282753152995788,1003.5200258353507,0,0.3513713383308912,0.8762769892422431,0000000000000000003a,1,31.675677013964787,-111.42938826288244,120.71097104124286,1002.6615295410156,265.09359755447895,0.21566179093828047,0.18895385788737767,0.1830950110578031,-1.3793506270947091,-1.126966688368043,-0.08652824138190833,1.3793506270947091,1.126966688368043,0.45574225474922514,1.3793506270947091,1.126966688368043,28.0,28.0,26.48437391888215,28.0,50.0,50.0,53.53415479609434,50.0,1.0,1.0,1.0330667347537412,1.0,1002.2386561114788,1002.902568699695,"{""type"":""LineString"",""coordinates"":[[-111.42953750985005,31.67567651158903],[-111.4292390159132,31.6756775161668]]}"
0000000000000000003b,AZ669,,53875,68,MLC,,114.791880474,,Berm,-55.752662658691406,-77.98922729492188,2.9844733175437854,1002.6074827017028,0,0.0024940004345207784,-0.01016089668620748,0000000000000000003b,1,31.678068692741718,-111.43132646735934,97.897724411735,1002.4672827495007,439.07641009361816,0.20770202020202022,0.20820312500000004,0.1762092787321414,-0.9323852173181422,-1.063016920787902,0.5688835138825729,0.9323852173181422,1.063016920787902,0.19267845387143248,0.9323852173181422,1.063016920787902,25.69736699534076,25.0,25.413959963654655,25.0,52.75235670170115,53.76443818398527,53.68770398719534,53.71512605042016,1.0,1.0,1.0047639715537384,1.0,1001.3635992465581,1001.6444344994806,"{""type"":""LineString"",""coordinates"":[[-111.43193148116781,31.678100234331865],[-111.43072145396195,31.67803714829646]]}"
0000000000000000003e,AZ669,,53875,68,MLC,,69.9131621381,,Berm,119.56712899267791,25.17578125,-46.23307420507194,1001.9521798872219,1,0.3574049497362131,-0.20122142706755922,0000000000000000003e,1,31.68174413258575,-111.42907838992946,81.60903722951346,1000.0869750976562,266.7153424809625,0.25825643516270036,0.202484631147541,0.187996542008866,-0.5003454412601513,-0.5642365696170941,0.07930708699461775,0.5003454412601513,0.5642365696170941,-0.1542232002363638,0.5003454412601513,0.5642365696170941,26.98725017229496,26.162201740029293,25.91193282599783,26.678784860557773,53.98725017229495,53.16220174002928,54.19909775180965,53.678784860557776,1.0,1.0,1.0355282988768153,1.0,999.449471814526,999.4568860797336,"{""type"":""LineString"",""coordinates"":[[-111.42931293513293,31.681499267459305],[-111.4288438434887,31.681988997283078]]}"
0000000000000000003f,AZ669,,53875,68,MLC,,74.0184031378,,Berm,90.0,-62.95545959472656,24.9451497792045,989.1129273404779,0,1.1510052601591865,0.06771911323006818,0000000000000000003f,1,31.69698200334596,-111.43214663107995,101.66844408812986,991.4880002300117,664.7942770637022,0.22860324530703147,0.2885292047853625,0.17872780822341164,-2.4521630889771586,-1.6191521360162824,1.9007402252045342,2.4521630889771586,1.6191521360162824,1.1030745258600898,2.4521630889771586,1.6191521360162824,28.0,28.0,27.12348201229055,28.0,49.30403634457452,51.0,51.15785271048557,50.703060068001506,1.0,1.0,1.0,1.0,990.5386735578622,991.0897037552725,"{""type"":""LineString"",""coordinates"":[[-111.43250661906349,31.697100367859388],[-111.4321551583399,31.696989598049445],[-111.43191394381913,31.69693219533612],[-111.43186620087788,31.696802482015926]]}"
00000000000000000042,AZ669,,53875,68,MLC,,54.184802539,,Berm,-108.79390716552732,-141.91742574162146,4.290148238101568,987.9048768149481,1,4.258753552143355,2.7459842870762334,00000000000000000042,1,31.704786936777275,-111.43204725087487,182.42210902680227,986.75,794.7615552697707,0.19199406968124538,0.14736729452054795,0.1630840743759217,-1.1999033220138244,-1.0452689047867807,0.3870621110924807,1.1999033220138244,1.0452689047867807,-0.38775445109839285,1.1999033220138244,1.0452689047867807,29.0,29.0,27.60095796249224,29.0,49.0,49.0,50.31148158740659,49.0,1.0,1.0,1.0,1.0,984.7736159104568,985.1644267720039,"{""type"":""LineString"",""coordinates"":[[-111.43233284583734,31.704808361063364],[-111.43176165604433,31.704765511854692]]}"
0000000000000000004f,AZ669,,53875,68,MLC,,46.6756501955,,Berm,137.58074951171875,77.98654174804693,14.182098816497808,1013.6457792399439,0,-0.4210096074269804,0.013446374434060023,0000000000000000004f,1,31.657199826065163,-111.45739309122455,132.66736019325054,1012.6589965820312,120.11142834262633,0.1594119009029868,0.16901147723065532,0.13232857280589005,-0.6351655798665661,-0.6946722721477272,0.03499971892817181,0.6351655798665661,0.6946722721477272,1.2034272436613946,0.6351655798665661,0.6946722721477272,23.36566791510612,24.0,23.268767052684964,24.0,54.63433208489389,54.0,53.628255053705075,54.0,1.365667915106117,2.0,1.436604526483301,2.0,1011.8785965585706,1012.0743072788221,"{""type"":""LineString"",""coordinates"":[[-111.45762652983694,31.65726642110014],[-111.45740628015007,31.6571955551534],[-111.45715472636775,31.657147193302478]]}"
00000000000000000052,AZ669,,53875,68,MLC,,69.7510215534,,Berm,-30.432525634765625,-30.43267822265622,-41.630519546515806,1009.6519775390625,1,0.16127426558895946,0.6836434415074676,00000000000000000052,1,31.666352682773514,-111.45212584425671,88.28849473385863,1009.7990112304688,951.8581754642549,0.17460908413998508,0.20014235796557528,0.14750580728209253,-0.9583121753906879,-1.1129589904505792,0.3921712330916686,0.9583121753906879,1.1129589904505792,0.7622442616805832,0.9583121753906879,1.1129589904505792,25.58193459075963,24.10226682817097,23.8347021169317,24.85,50.62891503720366,52.846599757743554,53.806730052254906,51.725,1.8514448866585917,1.0511334140854818,1.3019748209427666,1.4249999999999998,1009.1211622981722,1009.4454006585687,"{""type"":""LineString"",""coordinates"":[[-111.4523813218202,31.666125614899325],[-111.45187036544422,31.666579750138695]]}"
00000000000000000053,AZ669,,53875,68,MLC,,51.5139871537,,Berm,-99.66053771972655,-60.429016113281236,-47.06664084752394,1009.7990112304688,1,0.05812031508506118,0.06975284936270487,00000000000000000053,1,31.666611592291847,-111.45109816517963,79.28887085144162,1009.6519775390625,1046.0565814886204,0.15844694724362776,0.17857142857142855,0.14937950928034446,-1.1490237586616558,-1.5478990568554423,-0.08454862244567114,1.1490237586616558,1.5478990568554423,0.4433572192194409,1.1490237586616558,1.5478990568554423,26.0,26.0,23.937683034208426,26.0,50.0,50.0,53.799513205287404,50.0,2.0,2.0,1.3045742876628825,2.0,1008.8305224694278,1009.3226083608774,"{""type"":""LineString"",""coordinates"":[[-111.45126746519662,31.66642961589543],[-111.45092886449932,31.66679356846474]]}"
00000000000000000056,AZ669,,53875,68,MLC,,47.2197713094,,Berm,-41.38983154296875,-105.83718109130858,25.146240897632598,1001.1608884945266,0,0.9191773402856621,0.4642539355362774,00000000000000000056,1,31.677600190304165,-111.44323306286604,145.45713448125574,1001.6306435629284,708.6763571647242,0.1893026652062797,0.1831177671885637,0.1772403141855986,-1.3273838026840394,-1.6032949736623436,-0.6011894255794914,1.3273838026840394,1.6032949736623436,1.2755132495171513,1.3273838026840394,1.6032949736623436,24.0,24.006189650903693,24.350440461535733,24.0,54.0,53.9938103490963,54.08440039074913,54.0,1.0,1.0,1.0001829939438236,1.0,1000.6960471708138,1001.1757052291231,"{""type"":""LineString"",""coordinates"":[[-111.4434508810326,31.67770243793817],[-111.44301524517921,31.67749794230009]]}"
