system:index,AREASYMBOL,FA,Fail_Type,MUKEY,MUSYM,Note,Notes,Shape_Leng,Structure_,Type,aspectD_60,aspectU_60,berm_angle,berm_elev,channel_1000m,channel_100m,channel_10m,channel_200m,channel_500m,channel_700m,compare,convD_60,convU_60,id,landform,latitude,longitude,other_dist,other_elev,road_dist,saviD_60,saviU_60,savi_background,slopeD_100,slopeD_200,slopeD_60,slopeU_100,slopeU_200,slopeU_60,slope_100,slope_200,surf_clayD_60,surf_clayU_60,surf_clay_background,surf_claybg,surf_sandD_60,surf_sandU_60,surf_sand_background,surf_sandbg,surfsocD_60,surfsocU_60,surfsoc_background,surfsocbg,zD_60,zU_60,.geo
00000000000000000030,AZ669,1985.8379722407778,,53875,68,MLC,,178.2489437,,Berm,-30.42796325683591,81.92474365234375,-16.201091348261784,1023.6725089716717,1.0,0.14879104127927503,0.01833011557247969,0.26460003380873154,0.47444919941516844,0.8814944645616284,0,0.04999907756238086,0.49071909139478526,00000000000000000030,1,31.64854205343345,-111.42668509559263,92.68160456283516,1021.7054956157374,274.20970605926715,0.14186946902654868,0.13486471251409246,0.14114286713832244,-1.0468215758472752,-1.208079004626768,0.1556554140169434,1.0468215758472752,1.208079004626768,0.8682081257444453,1.0468215758472752,1.208079004626768,24.0,24.0,23.834015805476508,24.0,55.0,55.0,54.234769675846024,55.0,1.3325852303088592,1.2122550765942284,1.6301505145788047,1.2840642483306262,1021.1323421349954,1021.3987695934627,"{""type"":""LineString"",""coordinates"":[[-111.42757391374766,31.648283805732863],[-111.42579627249908,31.648800294975217]]}"
00000000000000000031,AZ669,32.6179639869559,,53875,68,MLC,,31.5635397355,,Berm,122.55667114257812,-49.59259033203122,2.1042084627348645,1023.2710281808036,1.0,0.24149934929654404,0.030126231114871917,0.43072070093883397,0.7341573791914143,1.0,0,-0.15706304399360071,0.8661134893441665,00000000000000000031,1,31.648142455068868,-111.42765703109713,16.76009986915468,1022.0560302734375,337.90188684529454,0.13542246465546032,0.12938520319555402,0.14009239542674282,-1.3203901111443201,-1.458754171440546,0.6173544571252402,1.3203901111443201,1.458754171440546,0.7457343608155043,1.3203901111443201,1.458754171440546,24.0,24.0,23.69529782243122,24.0,55.0,55.0,54.63122610083444,55.0,2.0,2.0,1.609967759556989,2.0,1021.4418423109396,1021.8244581726433,"{""type"":""LineString"",""coordinates"":[[-111.42782458802999,31.648148611316735],[-111.42748947418646,31.64813629860214]]}"
00000000000000000038,AZ669,1575.3889873043988,,53875,68,MLC,,66.1943913754,,Berm,30.43492126464841,-49.60075601866308,12.865262257082502,1002.9874110155099,1.0,0.0,0.0,0.0011307691640309375,0.6914793217698612,1.0,0,0.0331576502961768,0.35453277975680614,00000000000000000038,1,31.674897752722984,-111.43270479078632,97.69800826901694,1004.4493541179406,384.0429739336487,0.15892964521948288,0.21190417387009136,0.1654995258497467,-1.1422133274104453,-1.1082046323455756,0.949505396309102,1.1422133274104453,1.1082046323455756,0.45309228054861705,1.1422133274104453,1.1082046323455756,25.0,25.0,27.00101509434687,25.0,53.0,53.0,51.8492956035714,53.0,1.0,1.0,1.032709559624502,1.0,1003.1705909850219,1003.6103174954006,"{""type"":""LineString"",""coordinates"":[[-111.4330429209778,31.674974978636957],[-111.43236666115723,31.674820525917276]]}"
0000000000000000003a,AZ669,102.67518193969995,,53875,68,MLC,,28.2645332809,,Berm,49.60121154785148,13.224945068359432,-0.19282753152995788,1003.1405417761224,1.0,0.023623560609014882,0.0,0.16572424973398767,0.9581650445953551,1.0,0,0.3513713383308912,0.8762769892422431,0000000000000000003a,1,31.675677013964787,-111.42938826288244,120.71097104124286,1002.6615295410156,265.09359755447895,0.18787500000000001,0.17995663695495062,0.16521566964621473,-1.3793506270947091,-1.126966688368043,-0.08652824138190833,1.3793506270947091,1.126966688368043,0.45574225474922514,1.3793506270947091,1.126966688368043,28.0,28.0,26.241515414870044,28.0,50.0,50.0,53.95151586054752,50.0,1.0,1.0,1.0828848703635607,1.0,1002.2386561114788,1002.902568699695,"{""type"":""LineString"",""coordinates"":[[-111.42953750985005,31.67567651158903],[-111.4292390159132,31.6756775161668]]}"
0000000000000000003b,AZ669,983.1840077071287,,53875,68,MLC,,114.791880474,,Berm,-55.752662658691406,-77.98922729492188,2.9844733175437854,1002.735793690394,1.0,0.022720702105105083,0.0,0.1670334669801276,0.9159392291814675,1.0,0,0.0024940004345207784,-0.01016089668620748,0000000000000000003b,1,31.678068692741718,-111.43132646735934,97.897724411735,1002.4672827495007,439.07641009361816,0.1847686749796061,0.18500670977186776,0.17924168438614807,-0.9323852173181422,-1.063016920787902,0.5688835138825729,0.9323852173181422,1.063016920787902,0.19267845387143248,0.9323852173181422,1.063016920787902,25.69736699534076,25.0,25.35229717615416,25.0,52.75235670170115,53.76443818398527,53.39267817122355,53.71512605042016,1.0,1.0,1.0,1.0,1001.3635992465581,1001.6444344994806,"{""type"":""LineString"",""coordinates"":[[-111.43193148116781,31.678100234331865],[-111.43072145396195,31.67803714829646]]}"
0000000000000000003e,AZ669,333067.37019619014,,53875,68,MLC,,69.9131621381,,Berm,119.56712899267791,25.17578125,-46.23307420507194,1001.2631387955104,1.0,0.039681408340357896,5.612169878137343E-6,0.2611499785053891,0.999048175988668,1.0,1,0.3574049497362131,-0.20122142706755922,0000000000000000003e,1,31.68174413258575,-111.42907838992946,81.60903722951346,1000.0869750976562,266.7153424809625,0.23817691742220043,0.19448111961975179,0.1822462918418418,-0.5003454412601513,-0.5642365696170941,0.07930708699461775,0.5003454412601513,0.5642365696170941,-0.1542232002363638,0.5003454412601513,0.5642365696170941,26.98725017229496,26.162201740029293,26.298763849587658,26.678784860557773,53.98725017229495,53.16220174002928,53.80133818080591,53.678784860557776,1.0,1.0,1.004108154462118,1.0,999.449471814526,999.4568860797336,"{""type"":""LineString"",""coordinates"":[[-111.42931293513293,31.681499267459305],[-111.4288438434887,31.681988997283078]]}"
0000000000000000003f,AZ669,158.78141748290523,,53875,68,MLC,,74.0184031378,,Berm,90.0,-62.95545959472656,24.9451497792045,989.9925420851933,1.0,0.5379196737303629,0.054754863016064526,0.9553058718291085,1.0,1.0,0,1.1510052601591865,0.06771911323006818,0000000000000000003f,1,31.69698200334596,-111.43214663107995,101.66844408812986,991.4880002300117,664.7942770637022,0.2127750091163243,0.28140236823775255,0.1728069835574423,-2.4521630889771586,-1.6191521360162824,1.9007402252045342,2.4521630889771586,1.6191521360162824,1.1030745258600898,2.4521630889771586,1.6191521360162824,28.0,28.0,27.609715048355493,28.0,49.30403634457452,51.0,50.73527255532185,50.703060068001506,1.0,1.0,1.0,1.0,990.5386735578622,991.0897037552725,"{""type"":""LineString"",""coordinates"":[[-111.43250661906349,31.697100367859388],[-111.4321551583399,31.696989598049445],[-111.43191394381913,31.69693219533612],[-111.43186620087788,31.696802482015926]]}"
00000000000000000042,AZ669,278999.4372351549,,53875,68,MLC,,54.184802539,,Berm,-108.79390716552732,-141.91742574162146,4.290148238101568,988.3938125115228,1.0,0.6033962524361339,0.06778060456051589,0.8539771139475717,1.0,1.0,1,4.258753552143355,2.7459842870762334,00000000000000000042,1,31.704786936777275,-111.43204725087487,182.42210902680227,986.75,794.7615552697707,0.1823474615742897,0.1307080016757436,0.1572047083351872,-1.1999033220138244,-1.0452689047867807,0.3870621110924807,1.1999033220138244,1.0452689047867807,-0.38775445109839285,1.1999033220138244,1.0452689047867807,29.0,29.0,27.987446322959425,29.0,49.0,49.0,50.01410483100631,49.0,1.0,1.0,1.0,1.0,984.7736159104568,985.1644267720039,"{""type"":""LineString"",""coordinates"":[[-111.43233284583734,31.704808361063364],[-111.43176165604433,31.704765511854692]]}"
00000000000000000044,AZ669,659.4972947440739,,53759,19,MLC,,82.7213897455,,Berm,64.07504272460932,11.0848388671875,-15.247221520715597,982.7097372803289,1.0,0.14260076896996107,0.015600123484227329,0.24345582897889637,0.5774670108245914,0.9124748651192713,0,1.3417985406082176,1.3577229374097488,00000000000000000044,1,31.712280598087048,-111.43563394962841,302.63213884211814,984.1129760742188,270.21917621261537,0.16838709677419356,0.1792174234034699,0.17040279216555476,-1.893369400305801,-1.2849235249861977,0.9166813109726492,1.893369400305801,1.2849235249861977,0.6482531908492698,1.893369400305801,1.2849235249861977,26.55188470066519,27.262270845653454,26.5450780471931,26.89183055975794,49.8160384331116,49.57806031933765,50.149038698573726,49.70272314674735,1.0,1.0,1.0,1.0,983.0238396117221,983.4141759500175,"{""type"":""LineString"",""coordinates"":[[-111.43604990927402,31.71216721532807],[-111.43521798896555,31.712393979495644]]}"
00000000000000000046,AZ669,117.6918626453099,,53875,68,MLC,,56.7970309954,,Berm,157.22457885742193,-68.5649871826172,-23.145586889384212,977.8613623732987,1.0,0.3260507913663941,0.04653530067648201,0.52351389477659,0.6526252417915547,0.7556515992975127,0,1.440480659326937,-0.04270802422330572,00000000000000000046,1,31.719404166590746,-111.43282233624556,122.80373718777751,977.9161777641938,409.20655682294625,0.1029570155683932,0.15612310322718528,0.17917423374791716,-2.195527475091467,-1.7357105535884332,0.586395263671875,2.195527475091467,1.7357105535884332,1.7495094629881198,2.195527475091467,1.7357105535884332,24.05186959691698,24.0,25.613791696873744,24.0,51.01156129569835,51.0,50.61913188921335,51.0,1.0,1.0,1.0,1.0,977.1813648224643,978.3049126271413,"{""type"":""LineString"",""coordinates"":[[-111.43309162357514,31.71928905206259],[-111.43255304824717,31.719519280552866]]}"
00000000000000000048,AZ669,190.03747649614215,,53875,68,MLC,,38.973549539,,Berm,44.41262817382807,-6.705108642578097,17.12113454390792,975.5787834643417,1.0,0.2580695852832751,0.03752711150401727,0.44782364266008307,0.7522287946231618,0.9628905380115681,0,2.626721737254596,1.2088193984828566,00000000000000000048,1,31.722917617543807,-111.43080312863789,117.61331593082718,976.0889892578125,475.929342843035,0.1465930402167118,0.1897350993377484,0.17279074661831195,-1.8106221952084525,-1.9001389679472709,0.8961246636200333,1.8106221952084525,1.9001389679472709,1.2569795021645784,1.8106221952084525,1.9001389679472709,25.0,25.0,24.917166675070167,25.0,51.0,51.0,51.75205129497976,51.0,1.0,1.0,1.0,1.0,975.2250189620457,975.4301259559059,"{""type"":""LineString"",""coordinates"":[[-111.43099726580577,31.72297742014658],[-111.43060899172053,31.72285781464683]]}"
0000000000000000004f,AZ669,46.07712005717009,,53875,68,MLC,,46.6756501955,,Berm,137.58074951171875,77.98654174804693,14.182098816497808,1013.175312598147,1.0,0.0,0.0,0.007791146343846889,0.8142443831787047,1.0,0,-0.4210096074269804,0.013446374434060023,0000000000000000004f,1,31.657199826065163,-111.45739309122455,132.66736019325054,1012.6589965820312,120.11142834262633,0.15660919540229887,0.15755106596718388,0.1273299382713598,-0.6351655798665661,-0.6946722721477272,0.03499971892817181,0.6351655798665661,0.6946722721477272,1.2034272436613946,0.6351655798665661,0.6946722721477272,23.36566791510612,24.0,23.82070129549663,24.0,54.63433208489389,54.0,52.80525897594084,54.0,1.365667915106117,2.0,1.4643829734731655,2.0,1011.8785965585706,1012.0743072788221,"{""type"":""LineString"",""coordinates"":[[-111.45762652983694,31.65726642110014],[-111.45740628015007,31.6571955551534],[-111.45715472636775,31.657147193302478]]}"
00000000000000000052,AZ669,3851.204061204059,,53875,68,MLC,,69.7510215534,,Berm,-30.432525634765625,-30.43267822265622,-41.630519546515806,1009.6519775390625,1.0,0.37523334650816337,0.042423966029207595,0.6450361294376376,0.9927568838486719,1.0,1,0.16127426558895946,0.6836434415074676,00000000000000000052,1,31.666352682773514,-111.45212584425671,88.28849473385863,1009.7990112304688,951.8581754642549,0.16224834312867326,0.20153000239062874,0.13966970740334667,-0.9583121753906879,-1.1129589904505792,0.3921712330916686,0.9583121753906879,1.1129589904505792,0.7622442616805832,0.9583121753906879,1.1129589904505792,25.58193459075963,24.10226682817097,23.895393512020135,24.85,50.62891503720366,52.846599757743554,53.702376162567305,51.725,1.8514448866585917,1.0511334140854818,1.2683895179671572,1.4249999999999998,1009.1211622981722,1009.4454006585687,"{""type"":""LineString"",""coordinates"":[[-111.4523813218202,31.666125614899325],[-111.45187036544422,31.666579750138695]]}"
00000000000000000053,AZ669,52951.62782018659,,53875,68,MLC,,51.5139871537,,Berm,-99.66053771972655,-60.429016113281236,-47.06664084752394,1009.7990112304688,1.0,0.4028878040033734,0.05004321124722568,0.6998236105420849,1.0,1.0,1,0.05812031508506118,0.06975284936270487,00000000000000000053,1,31.666611592291847,-111.45109816517963,79.28887085144162,1009.6519775390625,1046.0565814886204,0.143963963963964,0.16513056835637482,0.14150419510940337,-1.1490237586616558,-1.5478990568554423,-0.08454862244567114,1.1490237586616558,1.5478990568554423,0.4433572192194409,1.1490237586616558,1.5478990568554423,26.0,26.0,24.078681338156652,26.0,50.0,50.0,53.55255308945712,50.0,2.0,2.0,1.3267803342264113,2.0,1008.8305224694278,1009.3226083608774,"{""type"":""LineString"",""coordinates"":[[-111.45126746519662,31.66642961589543],[-111.45092886449932,31.66679356846474]]}"
00000000000000000056,AZ669,242.63425761346133,,53875,68,MLC,,47.2197713094,,Berm,-41.38983154296875,-105.83718109130858,25.146240897632598,1000.2032068258059,1.0,0.23524230920904418,0.02638039885630559,0.4241831048413941,0.8233993404526133,1.0,0,0.9191773402856621,0.4642539355362774,00000000000000000056,1,31.677600190304165,-111.44323306286604,145.45713448125574,1001.6306435629284,708.6763571647242,0.1811992504684572,0.1726441631504923,0.1650990684849916,-1.3273838026840394,-1.6032949736623436,-0.6011894255794914,1.3273838026840394,1.6032949736623436,1.2755132495171513,1.3273838026840394,1.6032949736623436,24.0,24.006189650903693,24.40360064143765,24.0,54.0,53.9938103490963,53.98167278147639,54.0,1.0,1.0,1.0002521751038072,1.0,1000.6960471708138,1001.1757052291231,"{""type"":""LineString"",""coordinates"":[[-111.4434508810326,31.67770243793817],[-111.44301524517921,31.67749794230009]]}"
