system:index,AREASYMBOL,FA_30_max,FA_30_mean,FA_60_max,FA_60_mean,Fail_Type,MUKEY,MUSYM,Note,Notes,Shape_Leng,Structure_,Type,aspectD_60,aspectU_60,berm_angle,berm_elev,channel_1000m,channel_100m,channel_10m,channel_200m,channel_500m,channel_700m,compare,convD_60,convU_60,id,landform,latitude,longitude,other_dist,other_elev,road_dist,saviD_60,saviU_60,savi_background,slopeD_100,slopeD_200,slopeD_60,slopeU_100,slopeU_200,slopeU_60,slope_100,slope_200,surf_clayD_60,surf_clayU_60,surf_clay_background,surf_claybg,surf_sandD_60,surf_sandU_60,surf_sand_background,surf_sandbg,surfsocD_60,surfsocU_60,surfsoc_background,surfsocbg,zD_60,zU_60,.geo
00000000000000000088,AZ669,2314.0,149.5498061954432,2321.0,134.31558224725262,,53807,30,MLC,,129.760860282,,Berm,-60.46749877929686,0.0,20.193227213525155,927.1849854866333,1.0,0.1697493349595719,0.01745770553166435,0.36502675933422424,0.8117977646230036,0.9997844532999676,0,0.20185550258514864,0.08851750226974862,00000000000000000088,1,31.811530495289436,-111.40596440667636,66.77977523346375,926.9352240078692,269.37878450975035,0.11961096611812827,0.18777580105989838,0.13816533206420442,-1.0384991104289156,-1.1534341026161883,0.0725729482458822,1.0384991104289156,1.1534341026161883,0.43105375833704335,1.0384991104289156,1.1534341026161883,26.67577501571795,27.622297460701333,27.70936047349128,27.73602794411178,47.818590704647676,47.0,46.59582172789816,46.75548902195608,1.0,1.0,1.0,1.0,926.4004002786895,926.8694289523033,"{""type"":""LineString"",""coordinates"":[[-111.40659213279353,31.811761367170018],[-111.40533668369719,31.811299620328217]]}"
0000000000000000009e,AZ669,28208.0,4321.462156585949,28230.0,2427.6941499290665,,53793,27,MLC,,55.9000517222,,Berm,113.02252197265625,49.639693248593375,-42.238231773013176,,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.26429116116512325,-0.11178858392887998,0000000000000000009e,0,31.80183100048871,-111.42927339853861,42657.18677025791,954.6217762793766,370.268149972302,0.15118009780990857,0.13623223319682004,0.13427670724554308,-0.8671639510029081,-1.1956027969740717,0.13624686486612822,0.8671639510029081,1.1956027969740717,1.3670149836923429,0.8671639510029081,1.1956027969740717,28.787383961525542,28.008836689038052,27.680832675214443,28.281659388646293,47.0,47.0,48.41550140914866,47.0,1.0,1.0,1.0,1.0,954.2148568289621,954.6217216607776,"{""type"":""LineString"",""coordinates"":[[-111.42943218319081,31.80162793613736],[-111.42926039984792,31.801901696375538],[-111.42905097726445,31.801974056349238]]}"
000000000000000001db,AZ669,48.0,9.830997937264385,1050.0,22.036742778297064,,53807,30,TCD,,31.4812132422,,Berm,-90.00000000000004,89.99999999999994,-25.880446433184495,894.5141575920511,1.0,0.41909754993858683,0.050014868446570535,0.5430047191156506,0.9121533389359365,1.0,0,0.05229168056646577,0.03862663009796022,000000000000000001db,1,31.875514753948032,-111.40321131471615,71.75968371647461,894.1493648558624,33.17637922097384,0.09761651212297089,0.14922379865983948,0.13969806932554674,-1.7687319100622287,-1.4245783487955919,0.7249959309895834,1.7687319100622287,1.4245783487955919,0.9219026825081754,1.7687319100622287,1.4245783487955919,27.0,27.0,25.796752014314862,27.0,46.0,46.0,47.632481925467815,46.0,1.0,1.0,1.0,1.0,893.3451480865479,894.2366143588362,"{""type"":""LineString"",""coordinates"":[[-111.40306729623742,31.875584624701403],[-111.40335533297643,31.875444883032316]]}"
000000000000000001dc,AZ669,42.0,2382.6007700281357,1336845.0,75113.39501608815,,53807,30,TCD,,28.1085340523,,Berm,-180.0,113.00620059663197,15.691613538433415,894.4240777792095,1.0,0.5617094919173969,0.07294132255135537,0.7479873037553252,0.9736979752749172,1.0,0,0.03129398302337252,0.022987198885004646,000000000000000001dc,1,31.87494120055301,-111.40260791348148,54.37087459728811,894.9910278320312,47.77954985792668,0.15117785084672503,0.11821551577714859,0.14153176661435551,-1.48101806640625,-1.54351806640625,0.7291072429995893,1.48101806640625,1.54351806640625,0.5019752415211087,1.48101806640625,1.54351806640625,27.0,27.0,25.713852023038847,27.0,46.0,46.0,47.828391300366526,46.0,1.0,1.0,1.0,1.0,894.1816040039063,894.7715680757316,"{""type"":""LineString"",""coordinates"":[[-111.40274978459834,31.874981056223813],[-111.40246604248733,31.87490134472468]]}"
000000000000000001de,AZ669,31.0,3.1784604206192224,104525.0,2638.4977168261626,,53806,3,TCD,,90.2959548544,,Berm,49.65707397460932,-90.00000000000006,-46.98449351733685,,1.0,0.2159997411424528,0.02081364742007656,0.4228588096210599,0.8834564235359662,1.0,1,0.054056656587437156,-0.29281278293355656,000000000000000001de,0,31.85912370578555,-111.43065959902614,42644.21441594605,923.2218884419839,457.6680689396959,0.23188839659920968,0.1456719892167484,0.1358387118066262,-0.5619203274142137,-0.6005216557929316,0.8344516095710711,0.5619203274142137,0.6005216557929316,0.00601204261802953,0.5619203274142137,0.6005216557929316,29.0,28.175356415478618,26.500862862132454,29.0,48.0,48.228105906313644,47.92943429070391,48.0,1.0,1.0,1.0,1.0,922.2616226946722,923.0192391931091,"{""type"":""LineString"",""coordinates"":[[-111.43096684037165,31.858811343436976],[-111.43070040622774,31.859063032743002],[-111.43037162969769,31.859449282506414]]}"
000000000000000001df,AZ669,233.0,19.18212973625048,250.0,22.279217953153076,,53806,3,TCD,,155.305633318,,Berm,-130.3404761947068,-180.0,79.88275689480355,908.4093973044853,1.0,0.1769557610597351,0.019186329697439126,0.426406197085541,1.0,1.0,0,-0.09411226683975475,-0.07136390461968636,000000000000000001df,1,31.866811520754172,-111.41053381946027,102.31670912466026,906.4950851440428,82.81704839919253,0.10903144779146384,0.12568316058247114,0.11635253928945252,-2.0201403568893284,-1.716009553645506,1.612602970065306,2.0201403568893284,1.716009553645506,0.6354084147216099,2.0201403568893284,1.716009553645506,26.0,26.0,26.805678539682223,26.0,45.33163175497271,46.0,46.15888923580368,46.0,1.0,1.0,1.0,1.0,905.3666707624776,906.3376298567235,"{""type"":""LineString"",""coordinates"":[[-111.41058273249733,31.866151602950968],[-111.41041624166652,31.866474580505646],[-111.41040622291769,31.86658209287502],[-111.41062440881444,31.86726657370517],[-111.41066678638381,31.86735600354138],[-111.41080874852962,31.867418241684607]]}"
000000000000000001e0,AZ669,96097.0,2482.3017202833403,96115.0,3378.420048529859,,53806,3,TCD,,188.404142545,,Berm,113.01034545898438,113.01046633657558,-19.85567102729025,913.1659375262515,1.0,0.27678201019116766,0.031757687574722714,0.42266738318754943,0.6826620617946753,0.8670907735099667,0,0.2907880821054911,-0.1232943306527067,000000000000000001e0,0,31.855764751131343,-111.39625704826159,36.161953587333144,913.0647069085222,101.43552641467974,0.12534434220695526,0.1508408101838837,0.11376550375112986,-1.8487532595897846,-1.7040445400066346,-0.19434734764634715,1.8487532595897846,1.7040445400066346,0.8325366455917067,1.8487532595897846,1.7040445400066346,27.371472670536527,26.461107194413657,25.67438549905102,27.06886280007009,50.209509109821184,50.351730620740575,50.55354338254824,50.28386192395304,1.0,1.0,1.0,1.0,912.5144131076926,913.1327277982513,"{""type"":""LineString"",""coordinates"":[[-111.3971764699519,31.855432724957048],[-111.39533761994996,31.856096770691597]]}"
000000000000000001e2,AZ669,25458.0,2296.93130444371,25523.0,1646.6498482763825,,53759,19,TCD,,53.8244517968,,Berm,-74.19061279296875,-49.65391540527344,73.4932387704113,1122.4501708984376,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.6670021125196794,-0.561131411083469,000000000000000001e2,0,31.84842613815444,-111.54479458488694,111.82440445992114,1124.3610825017397,58.56513046426673,0.2600051975051975,0.20911573916012288,0.1752957184156325,-6.039761013454836,-7.75347900390625,6.879814569965674,6.039761013454836,7.75347900390625,3.433593421694165,6.039761013454836,7.75347900390625,19.0,19.0,20.105056184947074,19.0,60.0,60.0,58.82297477241459,60.0,2.0,2.0,2.0331846151096924,2.0,1120.3358814601952,1123.4525742446356,"{""type"":""LineString"",""coordinates"":[[-111.54486417003527,31.8486609513048],[-111.54472500009292,31.84819132496621]]}"
000000000000000001e8,AZ669,14709.0,691.250045846323,14782.0,916.7646099031002,,53793,27,TCD,,74.8085337641,,Berm,-90.0,-90.0,-63.956061978380006,1058.6002634030965,0.0,0.0,0.0,0.0,0.0,0.0,1,0.32572038088552585,-0.12762023557156696,000000000000000001e8,0,31.80728048152963,-111.50338539053567,107.70593627724524,1057.3329425104484,366.5775485150685,0.16621621621621624,0.16737288135593217,0.16232026205256106,-4.461079401187362,-4.120677668959274,2.8405360870355403,4.461079401187362,4.120677668959274,1.459856344408763,4.461079401187362,4.120677668959274,28.0,28.0,26.933481038409358,28.0,47.980003619254425,47.55673085616128,49.60627814505911,47.79046836483156,2.0,2.0,2.0,2.0,1055.6330400631753,1057.476683110012,"{""type"":""LineString"",""coordinates"":[[-111.50356825098588,31.80703482627333],[-111.5034320750003,31.80706671335483],[-111.50336443620654,31.807165504549168],[-111.5033497966616,31.807367088206224],[-111.50335598778838,31.807541719385753],[-111.50329854543261,31.807586730018215]]}"
000000000000000001e9,AZ669,273.0,22.04430341124062,275.0,19.53666092943202,,53757,18,TCD,,45.527130183,,Berm,-90.0,-130.35860019362735,-84.4601256841836,1060.297627886604,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4820165090248975,0.6572707660228103,000000000000000001e9,0,31.80777485990675,-111.5043993545655,45.774735947497895,1059.0980224609375,416.560826140673,0.16176167935789257,0.17139202728629288,0.16624632955394691,-4.547176836566223,-5.7840532238165,1.3979987308255204,4.547176836566223,5.7840532238165,2.005101613730934,4.547176836566223,5.7840532238165,27.718790126979602,25.0,25.985359033438094,25.0,47.37494649736053,51.0,51.09769507076006,51.0,2.0,2.0,2.0,2.0,1057.588896736356,1059.1803176501567,"{""type"":""LineString"",""coordinates"":[[-111.50433880078614,31.807936402402145],[-111.50443295171361,31.807891245842296],[-111.50437356308892,31.807577996688046]]}"
